Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,187,2,Some Random Commen with Id 0
1,0,2,29,6,Some Random Commen with Id 1
2,0,2,35,4,Some Random Commen with Id 2
3,0,2,14,3,Some Random Commen with Id 3
4,0,2,76,3,Some Random Commen with Id 4
5,0,2,13,3,Some Random Commen with Id 5
6,2,1,51,2,Some Random Commen with Id 6
7,2,1,175,0,Some Random Commen with Id 7
8,2,1,118,0,Some Random Commen with Id 8
9,3,8,31,6,Some Random Commen with Id 9
10,3,8,71,9,Some Random Commen with Id 10
11,3,8,198,5,Some Random Commen with Id 11
12,3,8,115,2,Some Random Commen with Id 12
13,4,3,93,4,Some Random Commen with Id 13
14,4,3,14,4,Some Random Commen with Id 14
15,4,3,27,9,Some Random Commen with Id 15
16,4,3,153,1,Some Random Commen with Id 16
17,4,3,49,2,Some Random Commen with Id 17
18,4,3,9,7,Some Random Commen with Id 18
19,5,0,44,9,Some Random Commen with Id 19
20,5,0,117,9,Some Random Commen with Id 20
21,6,1,40,3,Some Random Commen with Id 21
22,6,1,57,0,Some Random Commen with Id 22
23,6,1,182,3,Some Random Commen with Id 23
24,6,1,85,0,Some Random Commen with Id 24
25,6,1,165,5,Some Random Commen with Id 25
26,6,1,22,2,Some Random Commen with Id 26
27,6,1,195,5,Some Random Commen with Id 27
28,6,1,94,4,Some Random Commen with Id 28
29,6,1,142,3,Some Random Commen with Id 29
30,7,1,148,0,Some Random Commen with Id 30
31,7,1,106,1,Some Random Commen with Id 31
32,7,1,172,9,Some Random Commen with Id 32
33,7,1,191,1,Some Random Commen with Id 33
34,7,1,187,3,Some Random Commen with Id 34
35,8,5,131,3,Some Random Commen with Id 35
36,8,5,29,1,Some Random Commen with Id 36
37,9,0,27,6,Some Random Commen with Id 37
38,10,2,24,6,Some Random Commen with Id 38
39,10,2,106,8,Some Random Commen with Id 39
40,11,7,171,3,Some Random Commen with Id 40
41,11,7,43,6,Some Random Commen with Id 41
42,11,7,89,9,Some Random Commen with Id 42
43,11,7,62,9,Some Random Commen with Id 43
44,12,5,177,7,Some Random Commen with Id 44
45,12,5,149,9,Some Random Commen with Id 45
46,12,5,110,0,Some Random Commen with Id 46
47,13,3,153,2,Some Random Commen with Id 47
48,13,3,98,5,Some Random Commen with Id 48
49,13,3,21,5,Some Random Commen with Id 49
50,13,3,136,4,Some Random Commen with Id 50
51,13,3,186,2,Some Random Commen with Id 51
52,13,3,143,7,Some Random Commen with Id 52
53,13,3,196,7,Some Random Commen with Id 53
54,13,3,198,5,Some Random Commen with Id 54
55,13,3,96,1,Some Random Commen with Id 55
56,14,9,31,2,Some Random Commen with Id 56
57,14,9,158,3,Some Random Commen with Id 57
58,14,9,141,7,Some Random Commen with Id 58
59,14,9,86,7,Some Random Commen with Id 59
60,14,9,147,5,Some Random Commen with Id 60
61,14,9,2,8,Some Random Commen with Id 61
62,14,9,104,1,Some Random Commen with Id 62
