Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,155,5,Some Random Commen with Id 0
1,0,2,136,7,Some Random Commen with Id 1
2,1,7,72,3,Some Random Commen with Id 2
3,1,7,163,0,Some Random Commen with Id 3
4,1,7,198,3,Some Random Commen with Id 4
5,1,7,192,3,Some Random Commen with Id 5
6,1,7,175,7,Some Random Commen with Id 6
7,1,7,128,8,Some Random Commen with Id 7
8,1,7,149,7,Some Random Commen with Id 8
9,2,3,192,4,Some Random Commen with Id 9
10,2,3,93,3,Some Random Commen with Id 10
11,4,8,69,8,Some Random Commen with Id 11
12,4,8,15,3,Some Random Commen with Id 12
13,5,8,3,3,Some Random Commen with Id 13
14,5,8,34,5,Some Random Commen with Id 14
15,5,8,181,7,Some Random Commen with Id 15
16,5,8,102,3,Some Random Commen with Id 16
17,5,8,135,1,Some Random Commen with Id 17
18,6,9,0,0,Some Random Commen with Id 18
19,6,9,51,9,Some Random Commen with Id 19
20,6,9,8,3,Some Random Commen with Id 20
21,6,9,120,0,Some Random Commen with Id 21
22,6,9,164,4,Some Random Commen with Id 22
23,7,4,145,5,Some Random Commen with Id 23
24,7,4,29,9,Some Random Commen with Id 24
25,9,4,73,9,Some Random Commen with Id 25
26,10,8,2,0,Some Random Commen with Id 26
27,10,8,163,3,Some Random Commen with Id 27
28,10,8,175,8,Some Random Commen with Id 28
29,10,8,97,8,Some Random Commen with Id 29
30,10,8,173,0,Some Random Commen with Id 30
31,11,2,174,5,Some Random Commen with Id 31
32,12,7,193,8,Some Random Commen with Id 32
33,13,0,91,0,Some Random Commen with Id 33
34,14,7,194,6,Some Random Commen with Id 34
35,14,7,181,4,Some Random Commen with Id 35
36,14,7,137,3,Some Random Commen with Id 36
37,14,7,152,5,Some Random Commen with Id 37
38,14,7,168,1,Some Random Commen with Id 38
39,14,7,113,7,Some Random Commen with Id 39
40,15,3,166,7,Some Random Commen with Id 40
41,15,3,131,4,Some Random Commen with Id 41
42,15,3,116,6,Some Random Commen with Id 42
43,15,3,162,1,Some Random Commen with Id 43
44,15,3,144,1,Some Random Commen with Id 44
45,15,3,152,9,Some Random Commen with Id 45
46,15,3,88,3,Some Random Commen with Id 46
47,15,3,138,0,Some Random Commen with Id 47
48,15,3,16,9,Some Random Commen with Id 48
49,16,6,185,0,Some Random Commen with Id 49
50,16,6,25,2,Some Random Commen with Id 50
51,16,6,35,3,Some Random Commen with Id 51
52,16,6,185,4,Some Random Commen with Id 52
53,16,6,51,4,Some Random Commen with Id 53
54,16,6,56,9,Some Random Commen with Id 54
55,16,6,136,7,Some Random Commen with Id 55
56,16,6,78,0,Some Random Commen with Id 56
57,16,6,48,9,Some Random Commen with Id 57
58,17,3,7,1,Some Random Commen with Id 58
59,17,3,156,3,Some Random Commen with Id 59
60,17,3,39,9,Some Random Commen with Id 60
61,17,3,148,9,Some Random Commen with Id 61
62,17,3,99,8,Some Random Commen with Id 62
63,17,3,80,8,Some Random Commen with Id 63
64,17,3,101,6,Some Random Commen with Id 64
65,17,3,109,9,Some Random Commen with Id 65
66,17,3,144,9,Some Random Commen with Id 66
67,18,0,95,4,Some Random Commen with Id 67
68,18,0,80,3,Some Random Commen with Id 68
69,18,0,196,3,Some Random Commen with Id 69
70,18,0,18,3,Some Random Commen with Id 70
71,18,0,93,8,Some Random Commen with Id 71
72,19,2,73,6,Some Random Commen with Id 72
73,19,2,75,4,Some Random Commen with Id 73
74,19,2,1,4,Some Random Commen with Id 74
75,19,2,101,2,Some Random Commen with Id 75
76,19,2,161,8,Some Random Commen with Id 76
77,19,2,34,9,Some Random Commen with Id 77
78,19,2,29,1,Some Random Commen with Id 78
79,19,2,159,8,Some Random Commen with Id 79
80,20,8,127,9,Some Random Commen with Id 80
81,20,8,96,6,Some Random Commen with Id 81
82,21,9,70,3,Some Random Commen with Id 82
83,21,9,170,0,Some Random Commen with Id 83
84,21,9,9,1,Some Random Commen with Id 84
85,21,9,117,7,Some Random Commen with Id 85
86,21,9,74,4,Some Random Commen with Id 86
87,21,9,23,3,Some Random Commen with Id 87
88,24,9,194,0,Some Random Commen with Id 88
89,26,3,106,2,Some Random Commen with Id 89
90,26,3,67,8,Some Random Commen with Id 90
91,26,3,162,5,Some Random Commen with Id 91
92,26,3,15,2,Some Random Commen with Id 92
93,27,7,43,2,Some Random Commen with Id 93
94,27,7,191,7,Some Random Commen with Id 94
95,27,7,14,3,Some Random Commen with Id 95
96,27,7,101,4,Some Random Commen with Id 96
